序号,动画,看完时间,第二次看完,状态,状态
565,来自风平浪静的明天,,,2,
566,恋爱小行星,,,3,
567,一周的朋友。,,,2,
568,宝石之国,2022,,2,
569,樱花任务,2023,,2,
570,SSSS.电光机王,2023,,2,
571,重启咲良田,2022,,2,
572,天使降临到我身边,,,2,
573,吹响吧！上低音号 第二季,,,2,
574,我女友与青梅竹马的惨烈修罗场,2022,,2,
575,吹响吧！上低音号,,,2,
576,奇蛋物语 / WONDER EGG PRIORITY,,,2,
577,女高中生的虚度日常,,,2,
578,神之塔,,,2,
579,比宇宙更远的地方,,,2,
580,男子高中生的日常,,,2,
581,路人超能100 REIGEN～不为人知的奇迹灵能者～（OVA）,,,2,
582,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,,,2,
583,飞翔的魔女 小剧场,,,2,
584,飞翔的魔女,,,2,
585,路人超能100 II(灵能百分百 第二季),,,2,
586,秋之回忆5 中断的胶片,,,2,
587,秋之回忆 OVA,,,2,
588,邻家索菲,,,2,
589,幻想嘉年华 Special Season,,,2,
590,幻想嘉年华 EX Season,,,2,
591,幻想嘉年华,,,2,
592,约定的梦幻岛 第二季,,,2,
593,约定的梦幻岛,,,2,
594,逆光之颤,,,2,
595,我们仍未知道那天所看见的花的名字。,,,2,
596,Fate/kaleid liner 魔法少女☆伊莉雅：雪下的誓言,2019,,2,
597,Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,2019,,2,
598,平家物语,,,2,
599,秒速五厘米,2022,,2,
600,玻璃之花与崩坏的世界,,,2,
601,命运-冠位指定 -月光／失落之室-,2019,,2,
602,天降之物Final 我永远的鸟笼,,,2,
603,萤火之森,,,2,
604,川柳少女,,,2,
605,碧蓝之海,,,2,
606,镜花缘,,,2,
607,有顶天家族,2022,,2,
608,历物语,,,2,
609,终物语 下,,,2,
610,来自新世界,2022,,2,
611,终物语,,,2,
612,关于前辈很烦人的事,,,2,
613,大话之少年游,,,2,
614,工作细胞 第二季,,,2,
615,珈百璃的堕落,,,2,
616,Hand Shakers,,,2,
617,未确认进行式 OVA,,,2,
618,未确认进行式 OAD,,,2,
619,未确认进行式,,,2,
620,无论何时我们的恋情都是10厘米。～告白实行委员会～,,,2,
621,真实之泪,2021,,2,
622,键等学园/键等,2021,,2,
623,玉子市场,,,2,
624,一杆青空,,,2,
625,鬼灭之刃 无限列车篇,,,2,
626,我，不是说了能力要平均值么！,,,2,
627,圣女魔力无所不能,,,2,
628,阿茹茉妮,,,2,
629,Fate/Grand Order ‐First Order‐,2019,,2,
630,命运-冠位嘉年华,2019,,2,
631,人类衰退之后,,,2,
632,牵牛花与加濑同学。,,,2,
633,告白实行委员会 我于此刻恋上你,,,2,
634,侦探已死,,,2,
635,告白实行委员会 嫉忌的答复,,,2,
636,这个勇者明明超强却过分慎重,,,2,
637,云之彼端，约定的地方,,,2,
638,珈百璃的堕落 SP,,,2,
639,热诚传说 第二季,2017,,2,
640,告白实行委员会 告白预演,,,2,
641,东之伊甸II -Paradise Lost,,,2,
642,东之伊甸I -The King of Eden,,,2,
643,冬季花园,,,2,
644,隐瞒之事 电影剪辑版,,,2,
645,剑网3·侠肝义胆沈剑心 第二季,2022,,2,
646,少年锦衣卫,2017,,2,
647,喜欢上你的那个瞬间。～告白实行委员会～,,,2,
648,电影版 境界的彼方未来篇,,,2,
649,电影版 境界的彼方过去篇,,,2,
650,超能力女儿,,,2,
651,从很久以前就喜欢你了。～告白实行委员会～,,,2,
652,男孩遇见女孩,,,2,
653,东之伊甸,,,2,
654,路人超能100(灵能百分百),,,2,
655,浪客剑心 新京都篇,,,2,
656,浪客剑心 星霜篇,,,2,
657,浪客剑心 追忆篇,,,2,
658,拾忆长安·明月几时有 第二季,,,2,
659,仙王的日常生活 第二季,,,2,
660,浪客剑心 （中配）,,,2,
661,轻音少女 剧场版,,,2,
662,拾忆长安·明月几时有,,,2,
663,她和她的猫,,,2,
664,我被逐出队伍后过上慢生活,,,2,
665,天宝伏妖录 第二季,,,2,
666,定海浮生录,,,2,
667,烈火浇愁,2022,,2,
668,境界的彼方,,,2,
669,追梦者,,,2,
670,One Room 第二季,,,2,
671,One Room 第三季,,,2,
672,One Room,,,2,
673,轻音少女 第二季,2021,,2,
